I, X, Y, E
gef-gcp-main-road1, 24.010029091, -33.550728075, 482.04
gef-gcp-main-road2, 23.999531375, -33.555239242, 494.02
gef-gcp-main-road3, 23.992638212, -33.553256746, 498.63
gef-gcp-main-road4, 23.986033841, -33.547377137, 501.86
gef-gcp-main-road5, 23.983361346, -33.545092969, 504.57
gef-gcp-main-road6, 23.983653069, -33.545012686, 503.70
gef-gcp-tch1, 23.998010241, -33.556489374, 501.10
gef-gcp-tch2, 23.998688145, -33.557529399, 505.84
gef-gcp-tch3, 23.993417891, -33.555661520, 501.18
gef-gcp-tch4, 23.993351146, -33.555988663, 503.29
gef-gcp-tch5, 23.993248461, -33.561912749, 550.21
gef-gcp-tch6, 23.992777589, -33.562050754, 552.37
gef-gcp-tch7, 23.994321781, -33.563399083, 581.26
gef-gcp-tch9, 23.994309475, -33.563431728, 577.09
gef-gcp-tch10, 23.993267912, -33.556736013, 504.87
gef-gcp-swftn1, 23.951578251, -33.552812565, 603.42
gef-gcp-swftn2, 23.953513657, -33.549397138, 605.64
gef-gcp-swftn3, 23.953497485, -33.548571953, 606.96
gef-gcp-swftn4, 23.954829098, -33.547201263, 608.17
gef-gcp-swftn5, 23.959867272, -33.546740768, 575.11
gef-gcp-swftn6, 23.970079902, -33.547176298, 532.04
gef-gcp-swftn7, 23.969109488, -33.547199832, 535.00
gef-gcp-swftn8, 23.970715951, -33.550962509, 534.82
gef-gcp-swftn9, 23.971172518, -33.551175780, 533.52
gef-gcp-swftn10, 23.954594679, -33.558952445, 611.37
gef-gcp-swftn11, 23.954625183, -33.559092513, 612.34
gef-gcp-swftn12, 23.972072900, -33.547685435, 525.97
gef-gcp-swftn13, 23.972941681, -33.547498060, 524.54
gef-gcp-swftn14, 23.971686693, -33.545142929, 530.39
